Timestamp,Time [min],Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah]
2018-11-29 22:00:25,0.0,0.0,3.24756,0.0,1.05159,0.0
2018-11-29 22:01:25,1.00001666666667,60.001000000000204,3.24841,0.0,4.10118,0.0
2018-11-29 22:02:25,2.0,120.0,3.24891,0.0,7.46626,0.0
2018-11-29 22:03:25,2.9999833333333603,179.99900000000162,3.24908,0.0,11.04165,0.0
2018-11-29 22:04:25,4.00003333333334,240.0020000000004,3.24942,0.0,14.30156,0.0
2018-11-29 22:05:25,5.00001666666667,300.0010000000002,3.24976,0.0,17.56147,0.0
2018-11-29 22:06:25,6.0,360.0,3.25043,0.0,19.66465,0.0
2018-11-29 22:07:25,7.00003333333334,420.0020000000004,3.25127,0.0,21.13686,0.0
2018-11-29 22:08:25,8.00001666666667,480.0010000000002,3.25228,0.0,21.87297,0.0
2018-11-29 22:09:25,9.0,540.0,3.25346,0.0,22.29361,0.0
2018-11-29 22:10:25,10.00003333333334,600.0020000000004,3.25464,0.0,22.39877,0.0
2018-11-29 22:11:25,10.99998333333336,659.9990000000016,3.25582,0.0,22.39877,0.0
2018-11-29 22:12:25,12.00001666666667,720.0010000000002,3.257,0.0,22.50393,0.0
2018-11-29 22:13:25,13.00005000000001,780.0030000000006,3.25802,0.0,22.60908,0.0
2018-11-29 22:14:25,13.99998333333336,839.9990000000016,3.25903,0.0,23.02972,0.0
2018-11-29 22:15:25,15.00005000000001,900.0030000000006,3.25987,0.0,23.02972,0.0
2018-11-29 22:16:25,16.00005000000001,960.0030000000006,3.26071,0.0,23.24004,0.0
2018-11-29 22:17:25,17.0,1020.0,3.26139,0.0,23.45035,0.0
2018-11-29 22:18:25,18.0,1080.0,3.26206,0.0,23.55551,0.0
2018-11-29 22:19:25,19.0,1140.0,3.26274,0.0,23.55551,0.0
2018-11-29 22:20:25,20.00005000000001,1200.0030000000006,3.26341,0.0,23.55551,0.0
2018-11-29 22:21:25,21.00005000000001,1260.0030000000006,3.26408,0.0,23.55551,0.0
2018-11-29 22:22:25,22.00003333333334,1320.0020000000004,3.26476,0.0,23.55551,0.0
2018-11-29 22:23:25,23.00003333333334,1380.0020000000004,3.26526,0.0,23.55551,0.0
2018-11-29 22:24:25,24.00001666666667,1440.0010000000002,3.26594,0.0,23.55551,0.0
2018-11-29 22:25:25,25.00005000000001,1500.0030000000006,3.26644,0.0,23.55551,0.0
2018-11-29 22:26:25,26.0,1560.0,3.26695,0.0,23.55551,0.0
2018-11-29 22:27:25,26.99998333333336,1619.9990000000016,3.26745,0.0,23.66067,0.0
2018-11-29 22:28:25,27.99998333333336,1679.9990000000016,3.26796,0.0,23.76583,0.0
2018-11-29 22:29:25,29.0,1740.0,3.2683,0.0,23.76583,0.0
2018-11-29 22:30:25,30.0,1800.0,3.2688,0.0,23.66067,0.0
2018-11-29 22:31:25,31.00008333333335,1860.005000000001,3.26931,0.0,23.66067,0.0
2018-11-29 22:32:25,32.00001666666667,1920.0010000000002,3.26965,0.0,23.66067,0.0
2018-11-29 22:33:25,33.00003333333334,1980.0020000000004,3.26998,0.0,23.66067,0.0
2018-11-29 22:34:25,34.00006666666668,2040.0040000000008,3.27049,0.0,23.66067,0.0
2018-11-29 22:35:25,35.00005000000001,2100.0030000000006,3.27083,0.0,23.76583,0.0
2018-11-29 22:36:25,36.00001666666667,2160.001,3.27116,0.0,23.76583,0.0
2018-11-29 22:37:25,37.00006666666668,2220.004000000001,3.2715,0.0,23.66067,0.0
2018-11-29 22:38:25,38.00005000000001,2280.0030000000006,3.27184,0.0,23.66067,0.0
2018-11-29 22:39:25,39.0,2340.0,3.27217,0.0,23.66067,0.0
2018-11-29 22:40:25,40.00006666666668,2400.004000000001,3.27251,0.0,23.76583,0.0
2018-11-29 22:41:25,41.0,2460.0,3.27285,0.0,23.66067,0.0
2018-11-29 22:42:25,42.00005000000001,2520.0030000000006,3.27319,0.0,23.76583,0.0
2018-11-29 22:43:25,43.0,2580.0,3.27335,0.0,23.76583,0.0
2018-11-29 22:44:25,44.00005000000001,2640.0030000000006,3.27369,0.0,23.66067,0.0
2018-11-29 22:45:25,45.00006666666668,2700.004000000001,3.27403,0.0,23.76583,0.0
2018-11-29 22:46:25,46.00006666666668,2760.004000000001,3.27437,0.0,23.76583,0.0
2018-11-29 22:47:25,47.00005000000001,2820.0030000000006,3.27453,0.0,23.66067,0.0
2018-11-29 22:48:25,48.00006666666668,2880.004000000001,3.27487,0.0,23.76583,0.0
2018-11-29 22:49:25,49.00006666666668,2940.004000000001,3.27521,0.0,23.76583,0.0
2018-11-29 22:50:25,49.99998333333336,2999.9990000000016,3.27538,0.0,23.87099,0.0
2018-11-29 22:51:25,51.00003333333334,3060.0020000000004,3.27555,0.0,23.76583,0.0
2018-11-29 22:52:25,52.00001666666667,3120.001,3.27588,0.0,23.76583,0.0
2018-11-29 22:53:25,53.00003333333334,3180.0020000000004,3.27605,0.0,23.76583,0.0
2018-11-29 22:54:25,54.00003333333334,3240.0020000000004,3.27639,0.0,23.76583,0.0
2018-11-29 22:55:25,55.00003333333334,3300.0020000000004,3.27656,0.0,23.76583,0.0
2018-11-29 22:56:25,56.00003333333334,3360.0020000000004,3.27689,0.0,23.76583,0.0
2018-11-29 22:57:25,57.00003333333334,3420.0020000000004,3.27706,0.0,23.76583,0.0
2018-11-29 22:58:25,57.99998333333336,3479.9990000000016,3.27723,0.0,23.76583,0.0
2018-11-29 22:59:25,58.99998333333336,3539.9990000000016,3.27757,0.0,23.76583,0.0
2018-11-29 22:59:25,59.00006666666668,3540.004000000001,3.27757,0.0,23.76583,0.0
2018-11-29 23:00:25,60.00018333333334,3600.0110000000004,3.51305,2.99853,23.76583,0.04997
2018-11-29 23:01:25,61.000200000000014,3660.0120000000006,3.55671,2.99853,23.87099,0.09995
2018-11-29 23:02:25,62.00018333333334,3720.0110000000004,3.58284,2.99853,23.97615,0.14993
2018-11-29 23:03:25,63.00015,3780.009,3.60745,2.99853,24.0813,0.19991
2018-11-29 23:04:25,64.00013333333337,3840.0080000000016,3.6297,2.99853,24.18646,0.24988
2018-11-29 23:05:25,65.00018333333334,3900.0110000000004,3.6501,2.99853,24.29162,0.29986
2018-11-29 23:06:25,66.00013333333337,3960.0080000000016,3.66847,2.99853,24.29162,0.34984
2018-11-29 23:07:25,67.00016666666667,4020.01,3.68398,2.99853,24.39678,0.39981
