Timestamp,Time [min],Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah]
2018-10-26 09:29:22,0.0,0.0,4.17604,-0.15069,23.97615,-0.00254
2018-10-26 09:30:22,1.0,60.0,4.17301,-0.15325,23.97615,-0.00507
2018-10-26 09:31:22,2.0,120.0,4.17014,-0.15069,23.97615,-0.00761
2018-10-26 09:32:22,2.9999500000000503,179.99700000000303,4.16761,-0.15069,23.76583,-0.01014
2018-10-26 09:33:22,4.0,240.0,4.16509,-0.15325,23.66067,-0.01268
2018-10-26 09:34:22,5.0,300.0,4.16273,-0.15325,23.76583,-0.01522
2018-10-26 09:35:22,6.0,360.0,4.16053,-0.15069,23.76583,-0.01775
2018-10-26 09:36:22,7.0,420.0,4.15834,-0.15069,23.97615,-0.02029
2018-10-26 09:37:22,7.999966666666781,479.99800000000687,4.15632,-0.15069,23.87099,-0.02281
2018-10-26 09:38:22,8.999966666666781,539.9980000000069,4.1543,-0.15069,23.76583,-0.02535
2018-10-26 09:39:22,9.999966666666781,599.9980000000069,4.15244,-0.15325,23.76583,-0.02787
2018-10-26 09:40:22,10.999966666666781,659.9980000000069,4.15042,-0.15325,23.76583,-0.03041
2018-10-26 09:41:22,11.99995000000005,719.997000000003,4.14857,-0.15069,23.87099,-0.03295
2018-10-26 09:42:22,12.999966666666781,779.9980000000069,4.14688,-0.15325,23.87099,-0.03548
2018-10-26 09:43:22,13.999983333333512,839.9990000000107,4.14503,-0.15069,23.87099,-0.03801
2018-10-26 09:44:22,15.0,900.0,4.14334,-0.15325,23.87099,-0.04055
2018-10-26 09:45:22,16.0,960.0,4.14166,-0.15325,23.76583,-0.0431
2018-10-26 09:46:22,17.0,1020.0,4.14014,-0.15325,23.76583,-0.04565
2018-10-26 09:47:22,17.99998333333351,1079.9990000000107,4.13845,-0.15069,23.87099,-0.04818
2018-10-26 09:48:22,19.0,1140.0,4.13694,-0.15325,23.87099,-0.05072
2018-10-26 09:49:22,19.99998333333351,1199.9990000000107,4.13542,-0.15325,23.87099,-0.05325
2018-10-26 09:50:22,20.99995000000005,1259.997000000003,4.13407,-0.15325,23.87099,-0.05579
2018-10-26 09:51:22,22.0,1320.0,4.13255,-0.15325,23.87099,-0.05832
2018-10-26 09:52:22,22.99998333333351,1379.9990000000107,4.13121,-0.15069,23.76583,-0.06086
2018-10-26 09:53:22,23.999966666666783,1439.9980000000069,4.12986,-0.15069,23.87099,-0.06338
2018-10-26 09:54:22,24.999966666666783,1499.9980000000069,4.12851,-0.15325,23.87099,-0.06591
2018-10-26 09:55:22,25.999966666666783,1559.9980000000069,4.12716,-0.15325,23.76583,-0.06845
2018-10-26 09:56:22,26.999966666666783,1619.9980000000069,4.12598,-0.15325,23.66067,-0.07099
2018-10-26 09:57:22,27.999966666666783,1679.9980000000069,4.1248,-0.15325,23.87099,-0.07352
2018-10-26 09:58:22,28.99998333333351,1739.9990000000107,4.12362,-0.15069,23.76583,-0.07606
2018-10-26 09:59:22,29.99995000000005,1799.997000000003,4.12244,-0.15325,23.76583,-0.07859
2018-10-26 10:00:22,30.99995000000005,1859.997000000003,4.12126,-0.15325,23.87099,-0.08112
2018-10-26 10:01:22,31.99998333333351,1919.9990000000107,4.12008,-0.15069,23.97615,-0.08364
2018-10-26 10:02:22,32.99996666666678,1979.9980000000069,4.11907,-0.15069,23.76583,-0.08618
2018-10-26 10:03:22,33.99998333333351,2039.9990000000107,4.11789,-0.15325,23.76583,-0.08871
2018-10-26 10:04:22,34.99996666666678,2099.998000000007,4.11688,-0.15325,23.97615,-0.09125
2018-10-26 10:05:22,35.99996666666678,2159.998000000007,4.11587,-0.15069,23.76583,-0.09379
2018-10-26 10:06:22,36.99998333333351,2219.9990000000107,4.11502,-0.15069,23.76583,-0.09632
2018-10-26 10:07:22,38.0,2280.0,4.11401,-0.15069,23.76583,-0.09886
2018-10-26 10:08:22,38.99995000000005,2339.997000000003,4.113,-0.15325,23.87099,-0.10139
2018-10-26 10:09:22,39.99996666666678,2399.998000000007,4.11216,-0.15069,23.87099,-0.10393
2018-10-26 10:10:22,41.0,2460.0,4.11115,-0.15325,23.87099,-0.10646
2018-10-26 10:11:22,42.0,2520.0,4.1103,-0.15069,23.76583,-0.109
2018-10-26 10:12:22,42.99998333333351,2579.9990000000107,4.10946,-0.15069,23.87099,-0.11154
2018-10-26 10:13:22,43.99998333333351,2639.9990000000107,4.10862,-0.15325,23.97615,-0.11407
2018-10-26 10:14:22,44.99996666666678,2699.998000000007,4.10794,-0.15325,23.97615,-0.1166
2018-10-26 10:15:22,46.0,2760.0,4.1071,-0.15325,23.76583,-0.11915
2018-10-26 10:16:22,46.99998333333351,2819.9990000000107,4.10626,-0.15325,23.76583,-0.12169
2018-10-26 10:17:22,48.0,2880.0,4.10558,-0.15325,23.87099,-0.12423
2018-10-26 10:18:22,48.99995000000005,2939.997000000003,4.10474,-0.15069,24.0813,-0.12677
2018-10-26 10:19:22,49.99995000000005,2999.997000000003,4.10407,-0.15325,23.97615,-0.12931
2018-10-26 10:20:22,50.99996666666678,3059.998000000007,4.10339,-0.15325,23.76583,-0.13184
