Timestamp,Time [min],Voltage [V],Current [A],Temperature [degC],Capacity [Ah]
2018-10-28 01:48:59,0.0,4.10828,-1.49925,23.97615,0.16524
2018-10-28 01:49:59,1.0,4.0889,-1.49925,23.97615,0.14027
2018-10-28 01:50:59,2.0,4.07508,-1.49925,23.97615,0.1153
2018-10-28 01:51:59,2.9999833333335117,4.06429,-1.49925,23.97615,0.09033
2018-10-28 01:52:59,3.9999833333335117,4.05569,-1.4967,24.0813,0.06536
2018-10-28 01:53:59,5.000016666666488,4.04861,-1.4967,23.97615,0.04038
2018-10-28 01:54:59,6.0000333333334614,4.04271,-1.4967,23.97615,0.01542
2018-10-28 01:55:59,7.0,4.03749,-1.49925,23.97615,-0.00956
2018-10-28 01:56:59,7.999983333333512,4.0326,-1.49925,24.0813,-0.03453
2018-10-28 01:57:59,8.999983333333512,4.02822,-1.49925,23.97615,-0.0595
2018-10-28 01:58:59,10.0,4.02383,-1.4967,23.97615,-0.08447
2018-10-28 01:59:59,11.0,4.01945,-1.4967,24.0813,-0.10945
2018-10-28 02:00:59,11.999983333333512,4.01507,-1.4967,23.97615,-0.13441
2018-10-28 02:01:59,13.0,4.01052,-1.4967,23.97615,-0.15938
2018-10-28 02:02:59,14.0,4.00563,-1.49925,23.97615,-0.18435
2018-10-28 02:03:59,15.0,4.0004,-1.4967,24.0813,-0.20932
2018-10-28 02:04:59,15.999983333333512,3.99467,-1.4967,24.0813,-0.2343
2018-10-28 02:05:59,17.0,3.9881,-1.49925,24.0813,-0.25927
2018-10-28 02:06:59,18.0,3.98051,-1.49925,23.97615,-0.28424
2018-10-28 02:07:59,19.0,3.97209,-1.4967,23.87099,-0.30921
2018-10-28 02:08:59,20.00001666666649,3.96315,-1.49925,24.0813,-0.33418
2018-10-28 02:09:59,20.99998333333351,3.95371,-1.49925,24.18646,-0.35916
2018-10-28 02:10:59,22.00001666666649,3.94394,-1.4967,24.0813,-0.38412
2018-10-28 02:11:59,22.99998333333351,3.93382,-1.49925,23.87099,-0.4091
2018-10-28 02:12:59,24.0,3.92371,-1.49925,23.97615,-0.43407
2018-10-28 02:13:59,25.00001666666649,3.9136,-1.49925,24.29162,-0.45904
2018-10-28 02:14:59,26.00001666666649,3.90382,-1.49925,24.29162,-0.48401
2018-10-28 02:15:59,27.0,3.89421,-1.4967,23.97615,-0.50899
2018-10-28 02:16:59,27.99998333333351,3.88477,-1.4967,23.87099,-0.53395
2018-10-28 02:17:59,28.99998333333351,3.87567,-1.49925,23.97615,-0.55893
2018-10-28 02:18:59,30.0,3.86691,-1.4967,24.29162,-0.5839
2018-10-28 02:19:59,31.000033333333462,3.85865,-1.4967,24.18646,-0.60887
2018-10-28 02:20:59,32.00001666666649,3.85056,-1.4967,23.97615,-0.63384
2018-10-28 02:21:59,33.0,3.84263,-1.4967,23.87099,-0.65881
2018-10-28 02:22:59,34.00003333333346,3.83505,-1.4967,23.97615,-0.68378
2018-10-28 02:23:59,35.00003333333346,3.82763,-1.4967,24.29162,-0.70875
2018-10-28 02:24:59,36.0,3.82038,-1.4967,24.39678,-0.73373
2018-10-28 02:25:59,36.99998333333351,3.81314,-1.49925,24.0813,-0.7587
2018-10-28 02:26:59,37.99998333333351,3.80589,-1.4967,23.87099,-0.78368
2018-10-28 02:27:59,39.00003333333346,3.7983,-1.4967,23.97615,-0.80865
2018-10-28 02:28:59,39.99998333333351,3.79089,-1.49925,24.0813,-0.83362
2018-10-28 02:29:59,40.99996666666654,3.7833,-1.4967,24.29162,-0.85859
2018-10-28 02:30:59,41.99998333333351,3.77555,-1.49925,24.29162,-0.88357
2018-10-28 02:31:59,42.99998333333351,3.76746,-1.49925,24.0813,-0.90854
2018-10-28 02:32:59,44.00001666666649,3.7592,-1.49925,23.87099,-0.93351
2018-10-28 02:33:59,45.00004999999995,3.75077,-1.49925,23.97615,-0.95849
2018-10-28 02:34:59,46.0,3.74217,-1.4967,24.39678,-0.98347
2018-10-28 02:35:59,46.99998333333351,3.73341,-1.49925,24.29162,-1.00844
2018-10-28 02:36:59,48.0,3.72447,-1.4967,23.87099,-1.03341
2018-10-28 02:37:59,48.99998333333351,3.71537,-1.4967,23.87099,-1.05838
2018-10-28 02:38:59,50.00001666666649,3.70627,-1.49925,24.18646,-1.08335
2018-10-28 02:39:59,51.00001666666649,3.69717,-1.49925,24.39678,-1.10833
2018-10-28 02:40:59,52.00003333333346,3.6879,-1.4967,23.87099,-1.1333
2018-10-28 02:41:59,52.99998333333351,3.67846,-1.4967,23.87099,-1.15827
2018-10-28 02:42:59,54.00001666666649,3.66919,-1.49925,24.18646,-1.18324
2018-10-28 02:43:59,54.99998333333351,3.65992,-1.4967,24.29162,-1.2082
2018-10-28 02:44:59,56.00001666666649,3.65081,-1.49925,24.29162,-1.23317
2018-10-28 02:45:59,57.0,3.64171,-1.49925,23.87099,-1.25814
2018-10-28 02:46:59,58.00001666666649,3.63278,-1.49925,23.87099,-1.28311
2018-10-28 02:47:59,58.99998333333351,3.62401,-1.4967,24.18646,-1.30807
2018-10-28 02:48:59,59.99998333333351,3.61558,-1.4967,24.29162,-1.33304
2018-10-28 02:49:59,60.99998333333351,3.60749,-1.49925,24.18646,-1.35802
2018-10-28 02:50:59,62.0,3.59974,-1.49925,24.0813,-1.38299
2018-10-28 02:51:59,63.00003333333346,3.59199,-1.49925,23.97615,-1.40797
2018-10-28 02:52:59,63.99998333333351,3.58457,-1.49925,23.87099,-1.43293
2018-10-28 02:53:59,65.0,3.57749,-1.49925,23.97615,-1.4579
2018-10-28 02:54:59,65.99998333333352,3.57058,-1.49925,24.0813,-1.48288
2018-10-28 02:55:59,67.00001666666648,3.56384,-1.49925,24.18646,-1.50784
2018-10-28 02:56:59,68.00003333333346,3.55726,-1.49925,24.18646,-1.53281
2018-10-28 02:57:59,69.00001666666648,3.55086,-1.49925,24.0813,-1.55778
2018-10-28 02:58:59,69.99998333333352,3.54462,-1.4967,23.97615,-1.58275
2018-10-28 02:59:59,71.00001666666648,3.53822,-1.4967,24.0813,-1.60772
2018-10-28 03:00:59,71.99996666666654,3.53215,-1.49925,24.0813,-1.6327
2018-10-28 03:01:59,72.99996666666654,3.52591,-1.49925,24.18646,-1.65767
2018-10-28 03:02:59,73.99998333333352,3.51951,-1.4967,24.18646,-1.68264
2018-10-28 03:03:59,75.00003333333346,3.51327,-1.49925,24.0813,-1.7076
2018-10-28 03:04:59,75.99998333333352,3.5067,-1.49925,24.18646,-1.73258
2018-10-28 03:05:59,77.00003333333346,3.50012,-1.49925,24.29162,-1.75756
2018-10-28 03:06:59,78.0,3.49338,-1.49925,24.18646,-1.78253
2018-10-28 03:07:59,79.00001666666648,3.48647,-1.4967,24.18646,-1.8075
2018-10-28 03:08:59,79.99996666666654,3.47939,-1.49925,24.18646,-1.83247
2018-10-28 03:09:59,80.99998333333352,3.47248,-1.49925,24.39678,-1.85744
2018-10-28 03:10:59,82.0,3.4654,-1.49925,24.18646,-1.88242
2018-10-28 03:11:59,83.0,3.45832,-1.49925,24.18646,-1.90739
2018-10-28 03:12:59,84.0,3.4509,-1.4967,24.18646,-1.93236
2018-10-28 03:13:59,84.99998333333352,3.44264,-1.4967,24.29162,-1.95733
2018-10-28 03:14:59,86.00001666666648,3.43405,-1.49925,24.18646,-1.9823
2018-10-28 03:15:59,87.00001666666648,3.42494,-1.4967,24.18646,-2.00727
2018-10-28 03:16:59,88.00003333333346,3.41551,-1.49925,24.29162,-2.03224
2018-10-28 03:17:59,88.99998333333352,3.40573,-1.4967,24.29162,-2.05721
2018-10-28 03:18:59,89.99998333333352,3.39545,-1.49925,24.29162,-2.08218
2018-10-28 03:19:59,90.99998333333352,3.38483,-1.4967,24.29162,-2.10716
2018-10-28 03:20:59,92.00003333333346,3.3737,-1.49925,24.39678,-2.13215
2018-10-28 03:21:59,92.99996666666654,3.36089,-1.4967,24.18646,-2.15712
2018-10-28 03:22:59,94.0,3.34572,-1.49925,24.29162,-2.18209
2018-10-28 03:23:59,94.99996666666654,3.32819,-1.49925,24.39678,-2.20707
2018-10-28 03:24:59,96.0,3.30948,-1.49925,24.50194,-2.23203
2018-10-28 03:25:59,97.0,3.28841,-1.49925,24.39678,-2.25699
2018-10-28 03:26:59,98.0,3.26465,-1.4967,24.29162,-2.28196
2018-10-28 03:27:59,99.00003333333346,3.23818,-1.49925,24.50194,-2.30692
2018-10-28 03:28:59,100.0,3.20902,-1.49925,24.6071,-2.3319
2018-10-28 03:29:59,101.00001666666648,3.17733,-1.49925,24.50194,-2.35686
2018-10-28 03:30:59,101.99998333333352,3.14413,-1.49925,24.29162,-2.38183
2018-10-28 03:31:59,102.99996666666654,3.11092,-1.4967,24.6071,-2.40681
2018-10-28 03:32:59,104.00003333333346,3.07738,-1.4967,24.71226,-2.43178
2018-10-28 03:33:59,105.0,3.04198,-1.4967,24.71226,-2.45674
2018-10-28 03:34:59,106.0,3.00169,-1.49925,24.29162,-2.48171
2018-10-28 03:35:59,106.99998333333352,2.95332,-1.49925,24.6071,-2.50668
2018-10-28 03:36:59,108.00003333333346,2.89331,-1.4967,25.02773,-2.53166
2018-10-28 03:37:59,108.99998333333352,2.81493,-1.4967,24.6071,-2.55662
2018-10-28 03:38:08,109.15503333333326,2.79993,-1.4967,24.6071,-2.56049
