Timestamp,Time [min],Voltage [V],Current [A],Temperature [degC],Capacity [Ah]
2018-11-03 18:25:56,0.0,4.17351,-0.15069,38.59318,-0.00253
2018-11-03 18:26:56,1.0000166666667307,4.17082,-0.15325,38.48802,-0.00507
2018-11-03 18:27:56,2.0000166666667307,4.16829,-0.15069,38.48802,-0.0076
2018-11-03 18:28:56,3.0,4.16593,-0.15325,38.48802,-0.01014
2018-11-03 18:29:56,4.000049999999949,4.16374,-0.15069,38.59318,-0.01268
2018-11-03 18:30:56,5.000049999999949,4.16155,-0.15069,38.48802,-0.01522
2018-11-03 18:31:56,6.0000333333334614,4.15952,-0.15325,38.38286,-0.01775
2018-11-03 18:32:56,7.00001666666673,4.15733,-0.15325,38.48802,-0.02029
2018-11-03 18:33:56,8.000016666666731,4.15548,-0.15325,38.38286,-0.02283
2018-11-03 18:34:56,9.000016666666731,4.15362,-0.15325,38.48802,-0.02537
2018-11-03 18:35:56,10.00003333333346,4.15177,-0.15325,38.48802,-0.0279
2018-11-03 18:36:56,11.0,4.14992,-0.15325,38.48802,-0.03044
2018-11-03 18:37:56,12.00003333333346,4.14806,-0.15069,38.48802,-0.03297
2018-11-03 18:38:56,13.00004999999995,4.14638,-0.15069,38.48802,-0.03552
2018-11-03 18:39:56,14.00003333333346,4.14469,-0.15069,38.48802,-0.03805
2018-11-03 18:40:56,15.000016666666731,4.14317,-0.15325,38.48802,-0.04059
2018-11-03 18:41:56,16.0,4.14149,-0.15069,38.48802,-0.04313
2018-11-03 18:42:56,17.0,4.13997,-0.15069,38.48802,-0.04566
2018-11-03 18:43:56,18.00004999999995,4.13845,-0.15069,38.48802,-0.0482
2018-11-03 18:44:56,19.00004999999995,4.13694,-0.15325,38.59318,-0.05074
2018-11-03 18:45:56,19.99998333333327,4.13559,-0.15325,38.59318,-0.05327
2018-11-03 18:46:56,20.99998333333327,4.13407,-0.15325,38.48802,-0.05581
2018-11-03 18:47:56,22.00004999999995,4.13272,-0.15325,38.48802,-0.05835
2018-11-03 18:48:56,23.000033333333462,4.13154,-0.15069,38.38286,-0.06087
2018-11-03 18:49:56,24.000033333333462,4.13019,-0.15069,38.48802,-0.06341
2018-11-03 18:50:56,24.99998333333327,4.12885,-0.15069,38.59318,-0.06596
2018-11-03 18:51:56,26.000033333333462,4.12767,-0.15069,38.48802,-0.06849
2018-11-03 18:52:56,27.00001666666673,4.12649,-0.15325,38.48802,-0.07103
2018-11-03 18:53:56,28.0,4.12531,-0.15069,38.48802,-0.07356
2018-11-03 18:54:56,29.00004999999995,4.12413,-0.15069,38.48802,-0.0761
2018-11-03 18:55:56,30.0,4.12295,-0.15325,38.48802,-0.07864
2018-11-03 18:56:56,31.0,4.12193,-0.15325,38.38286,-0.08118
2018-11-03 18:57:56,32.00004999999995,4.12075,-0.15325,38.38286,-0.08372
2018-11-03 18:58:56,33.00004999999995,4.11974,-0.15069,38.48802,-0.08626
2018-11-03 18:59:56,33.99998333333327,4.1189,-0.15069,38.48802,-0.08879
2018-11-03 19:00:56,35.0,4.11789,-0.15069,38.48802,-0.09133
2018-11-03 19:01:56,35.99996666666678,4.11688,-0.15325,38.48802,-0.09387
2018-11-03 19:02:56,37.00003333333346,4.11587,-0.15325,38.59318,-0.09641
2018-11-03 19:03:56,38.0,4.11502,-0.15325,38.38286,-0.09895
2018-11-03 19:04:56,38.99998333333327,4.11401,-0.15069,38.48802,-0.10148
2018-11-03 19:05:56,39.99998333333327,4.11317,-0.15069,38.38286,-0.10402
2018-11-03 19:06:56,41.0,4.11233,-0.15325,38.48802,-0.10655
2018-11-03 19:07:56,42.00003333333346,4.11148,-0.15325,38.38286,-0.10909
2018-11-03 19:08:56,43.0,4.11064,-0.15325,38.48802,-0.11163
2018-11-03 19:09:56,43.99998333333327,4.1098,-0.15325,38.48802,-0.11417
2018-11-03 19:10:56,44.99998333333327,4.10912,-0.15069,38.48802,-0.11671
2018-11-03 19:11:56,46.00003333333346,4.10828,-0.15069,38.48802,-0.11925
2018-11-03 19:12:56,47.00001666666673,4.10761,-0.15325,38.59318,-0.12178
2018-11-03 19:13:56,48.0,4.10676,-0.15069,38.48802,-0.12432
2018-11-03 19:14:56,49.00003333333346,4.10609,-0.15069,38.48802,-0.12686
2018-11-03 19:15:56,50.0,4.10542,-0.15069,38.48802,-0.1294
2018-11-03 19:16:56,50.99998333333327,4.10474,-0.15069,38.48802,-0.13194
2018-11-03 19:17:56,52.00003333333346,4.10407,-0.15325,38.48802,-0.13447
2018-11-03 19:18:56,53.00003333333346,4.10339,-0.15069,38.48802,-0.13701
2018-11-03 19:19:56,53.99998333333327,4.10272,-0.15325,38.48802,-0.13955
2018-11-03 19:20:56,54.99998333333327,4.10221,-0.15325,38.48802,-0.14208
2018-11-03 19:21:56,55.99998333333327,4.10154,-0.15069,38.59318,-0.14462
2018-11-03 19:22:56,57.0,4.10086,-0.15325,38.48802,-0.14716
2018-11-03 19:23:56,57.99998333333327,4.10036,-0.15325,38.48802,-0.14969
2018-11-03 19:24:56,59.0,4.09985,-0.15069,38.48802,-0.15223
