Timestamp,Time [min],Voltage [V],Current [A],Temperature [degC],Capacity [Ah],SOC [-]
2018-11-29 20:59:07,0.0,4.19169,0.0,-0.52579,0.0,1.0
2018-11-29 20:59:17,0.16666666666666666,4.19169,0.0,-0.63095,0.0,1.0
2018-11-29 20:59:27,0.3333166666666784,4.19169,0.0,-0.63095,0.0,1.0
2018-11-29 20:59:37,0.5000166666666701,4.19169,0.0,-0.52579,0.0,1.0
2018-11-29 20:59:47,0.6667000000000068,4.19169,0.0,-0.63095,0.0,1.0
2018-11-29 20:59:57,0.8333666666666735,4.19169,0.0,-0.63095,0.0,1.0
2018-11-29 20:59:57,0.8333666666666735,4.19169,0.0,-0.63095,0.0,1.0
2018-11-29 21:00:07,1.0001000000000053,3.90989,-3.00106,-0.63095,-0.00834,0.9968542731823429
2018-11-29 21:00:17,1.166850000000007,3.89253,-3.00106,-0.52579,-0.01668,0.9937085463646856
2018-11-29 21:00:27,1.3334500000000087,3.88157,-2.9985,-0.52579,-0.02501,0.990566591401726
2018-11-29 21:00:37,1.5001666666666702,3.87415,-3.00106,-0.52579,-0.03335,0.9874208645840687
2018-11-29 21:00:47,1.666783333333342,3.86893,-3.00106,-0.42063,-0.04168,0.9842789096211091
2018-11-29 21:00:57,1.8334666666666786,3.86505,-2.9985,-0.31548,-0.05001,0.9811369546581493
2018-11-29 21:01:07,2.0001666666666704,3.86219,-3.00106,-0.21032,-0.05835,0.9779912278404921
2018-11-29 21:01:17,2.166783333333342,3.85999,-2.9985,-0.10516,-0.06668,0.9748492728775324
2018-11-29 21:01:27,2.333516666666674,3.85814,-3.00106,-0.10516,-0.07502,0.9717035460598752
2018-11-29 21:01:37,2.500100000000005,3.85679,-3.00106,0.0,-0.08335,0.9685615910969155
2018-11-29 21:01:47,2.666800000000012,3.85544,-3.00106,0.0,-0.09168,0.9654196361339558
2018-11-29 21:01:57,2.8334833333333336,3.85443,-3.00106,0.10516,-0.10001,0.962277681170996
2018-11-29 21:02:07,3.0002000000000106,3.85359,-3.00106,0.10516,-0.10835,0.9591319543533389
2018-11-29 21:02:17,3.166783333333342,3.85258,-3.00106,0.10516,-0.11668,0.9559899993903791
2018-11-29 21:02:27,3.3334833333333336,3.85174,-3.00106,0.10516,-0.12501,0.9528480444274194
2018-11-29 21:02:37,3.5001333333333453,3.85089,-3.00106,0.10516,-0.13335,0.9497023176097622
2018-11-29 21:02:47,3.666800000000012,3.84988,-3.00106,0.10516,-0.14168,0.9465603626468024
2018-11-29 21:02:57,3.8335000000000035,3.84904,-3.00106,0.21032,-0.15002,0.9434146358291453
2018-11-29 21:03:07,4.0001500000000005,3.8482,-3.00106,0.21032,-0.15835,0.9402726808661857
2018-11-29 21:03:17,4.166816666666667,3.84735,-2.9985,0.31548,-0.16669,0.9371269540485284
2018-11-29 21:03:27,4.333483333333334,3.84651,-3.00106,0.31548,-0.17502,0.9339849990855686
2018-11-29 21:03:37,4.50016666666667,3.8455,-3.00106,0.31548,-0.18336,0.9308392722679115
2018-11-29 21:03:47,4.666816666666667,3.84466,-3.00106,0.31548,-0.19169,0.9276973173049518
2018-11-29 21:03:57,4.833516666666673,3.84381,-3.00106,0.21032,-0.20002,0.9245553623419921
2018-11-29 21:04:07,5.0001500000000005,3.8428,-3.00106,0.42063,-0.20836,0.9214096355243349
