Timestamp,Time [min],Voltage [V],Current [A],Temperature [degC],Capacity [Ah],SOC [-]
2018-10-28 01:48:59,0.0,4.10828,-1.49925,23.97615,0.0,1.0
2018-10-28 01:49:59,1.0,4.0889,-1.49925,23.97615,-0.024969999999999992,0.9908391513466117
2018-10-28 01:50:59,2.0,4.07508,-1.49925,23.97615,-0.04994,0.9816783026932234
2018-10-28 01:51:59,2.9999833333335117,4.06429,-1.49925,23.97615,-0.07491,0.9725174540398352
2018-10-28 01:52:59,3.9999833333335117,4.05569,-1.4967,24.0813,-0.09988,0.963356605386447
2018-10-28 01:53:59,5.000016666666488,4.04861,-1.4967,23.97615,-0.12486,0.954192087991107
2018-10-28 01:54:59,6.0000333333334614,4.04271,-1.4967,23.97615,-0.14982,0.9450349080796704
2018-10-28 01:55:59,7.0,4.03749,-1.49925,23.97615,-0.1748,0.9358703906843304
2018-10-28 01:56:59,7.999983333333512,4.0326,-1.49925,24.0813,-0.19977,0.9267095420309421
2018-10-28 01:57:59,8.999983333333512,4.02822,-1.49925,23.97615,-0.22474,0.9175486933775538
2018-10-28 01:58:59,10.0,4.02383,-1.4967,23.97615,-0.24971,0.9083878447241657
2018-10-28 01:59:59,11.0,4.01945,-1.4967,24.0813,-0.27469,0.8992233273288257
2018-10-28 02:00:59,11.999983333333512,4.01507,-1.4967,23.97615,-0.29964999999999997,0.8900661474173891
2018-10-28 02:01:59,13.0,4.01052,-1.4967,23.97615,-0.32462,0.8809052987640008
2018-10-28 02:02:59,14.0,4.00563,-1.49925,23.97615,-0.34959,0.8717444501106126
2018-10-28 02:03:59,15.0,4.0004,-1.4967,24.0813,-0.37456,0.8625836014572243
2018-10-28 02:04:59,15.999983333333512,3.99467,-1.4967,24.0813,-0.39954,0.8534190840618843
2018-10-28 02:05:59,17.0,3.9881,-1.49925,24.0813,-0.42451,0.8442582354084961
2018-10-28 02:06:59,18.0,3.98051,-1.49925,23.97615,-0.44948,0.8350973867551078
2018-10-28 02:07:59,19.0,3.97209,-1.4967,23.87099,-0.47445,0.8259365381017195
2018-10-28 02:08:59,20.00001666666649,3.96315,-1.49925,24.0813,-0.49942,0.8167756894483313
2018-10-28 02:09:59,20.99998333333351,3.95371,-1.49925,24.18646,-0.5244,0.8076111720529913
2018-10-28 02:10:59,22.00001666666649,3.94394,-1.4967,24.0813,-0.5493600000000001,0.7984539921415548
2018-10-28 02:11:59,22.99998333333351,3.93382,-1.49925,23.87099,-0.5743400000000001,0.7892894747462147
2018-10-28 02:12:59,24.0,3.92371,-1.49925,23.97615,-0.59931,0.7801286260928265
2018-10-28 02:13:59,25.00001666666649,3.9136,-1.49925,24.29162,-0.62428,0.7709677774394382
2018-10-28 02:14:59,26.00001666666649,3.90382,-1.49925,24.29162,-0.64925,0.7618069287860499
2018-10-28 02:15:59,27.0,3.89421,-1.4967,23.97615,-0.6742300000000001,0.75264241139071
2018-10-28 02:16:59,27.99998333333351,3.88477,-1.4967,23.87099,-0.69919,0.7434852314792735
2018-10-28 02:17:59,28.99998333333351,3.87567,-1.49925,23.97615,-0.72417,0.7343207140839334
2018-10-28 02:18:59,30.0,3.86691,-1.4967,24.29162,-0.7491399999999999,0.7251598654305452
2018-10-28 02:19:59,31.000033333333462,3.85865,-1.4967,24.18646,-0.7741100000000001,0.7159990167771569
2018-10-28 02:20:59,32.00001666666649,3.85056,-1.4967,23.97615,-0.79908,0.7068381681237687
2018-10-28 02:21:59,33.0,3.84263,-1.4967,23.87099,-0.82405,0.6976773194703805
2018-10-28 02:22:59,34.00003333333346,3.83505,-1.4967,23.97615,-0.8490200000000001,0.6885164708169921
2018-10-28 02:23:59,35.00003333333346,3.82763,-1.4967,24.29162,-0.87399,0.6793556221636039
2018-10-28 02:24:59,36.0,3.82038,-1.4967,24.39678,-0.89897,0.6701911047682638
2018-10-28 02:25:59,36.99998333333351,3.81314,-1.49925,24.0813,-0.92394,0.6610302561148756
2018-10-28 02:26:59,37.99998333333351,3.80589,-1.4967,23.87099,-0.94892,0.6518657387195357
2018-10-28 02:27:59,39.00003333333346,3.7983,-1.4967,23.97615,-0.9738899999999999,0.6427048900661474
2018-10-28 02:28:59,39.99998333333351,3.79089,-1.49925,24.0813,-0.9988600000000001,0.6335440414127591
2018-10-28 02:29:59,40.99996666666654,3.7833,-1.4967,24.29162,-1.02383,0.6243831927593708
2018-10-28 02:30:59,41.99998333333351,3.77555,-1.49925,24.29162,-1.04881,0.615218675364031
2018-10-28 02:31:59,42.99998333333351,3.76746,-1.49925,24.0813,-1.07378,0.6060578267106427
2018-10-28 02:32:59,44.00001666666649,3.7592,-1.49925,23.87099,-1.09875,0.5968969780572544
2018-10-28 02:33:59,45.00004999999995,3.75077,-1.49925,23.97615,-1.12373,0.5877324606619145
2018-10-28 02:34:59,46.0,3.74217,-1.4967,24.39678,-1.14871,0.5785679432665745
2018-10-28 02:35:59,46.99998333333351,3.73341,-1.49925,24.29162,-1.17368,0.5694070946131862
2018-10-28 02:36:59,48.0,3.72447,-1.4967,23.87099,-1.19865,0.5602462459597979
2018-10-28 02:37:59,48.99998333333351,3.71537,-1.4967,23.87099,-1.2236200000000002,0.5510853973064096
2018-10-28 02:38:59,50.00001666666649,3.70627,-1.49925,24.18646,-1.24859,0.5419245486530213
2018-10-28 02:39:59,51.00001666666649,3.69717,-1.49925,24.39678,-1.27357,0.5327600312576815
2018-10-28 02:40:59,52.00003333333346,3.6879,-1.4967,23.87099,-1.29854,0.5235991826042932
2018-10-28 02:41:59,52.99998333333351,3.67846,-1.4967,23.87099,-1.32351,0.5144383339509049
2018-10-28 02:42:59,54.00001666666649,3.66919,-1.49925,24.18646,-1.3484800000000001,0.5052774852975166
2018-10-28 02:43:59,54.99998333333351,3.65992,-1.4967,24.29162,-1.37344,0.4961203053860801
2018-10-28 02:44:59,56.00001666666649,3.65081,-1.49925,24.29162,-1.3984100000000002,0.4869594567326917
2018-10-28 02:45:59,57.0,3.64171,-1.49925,23.87099,-1.42338,0.4777986080793035
2018-10-28 02:46:59,58.00001666666649,3.63278,-1.49925,23.87099,-1.44835,0.46863775942591523
2018-10-28 02:47:59,58.99998333333351,3.62401,-1.4967,24.18646,-1.4733100000000001,0.4594805795144786
2018-10-28 02:48:59,59.99998333333351,3.61558,-1.4967,24.29162,-1.49828,0.45031973086109045
2018-10-28 02:49:59,60.99998333333351,3.60749,-1.49925,24.18646,-1.52326,0.4411552134657505
2018-10-28 02:50:59,62.0,3.59974,-1.49925,24.0813,-1.54823,0.4319943648123622
2018-10-28 02:51:59,63.00003333333346,3.59199,-1.49925,23.97615,-1.57321,0.42282984741702223
2018-10-28 02:52:59,63.99998333333351,3.58457,-1.49925,23.87099,-1.59817,0.4136726675055856
2018-10-28 02:53:59,65.0,3.57749,-1.49925,23.97615,-1.62314,0.40451181885219734
2018-10-28 02:54:59,65.99998333333352,3.57058,-1.49925,24.0813,-1.64812,0.39534730145685737
2018-10-28 02:55:59,67.00001666666648,3.56384,-1.49925,24.18646,-1.6730800000000001,0.38619012154542076
2018-10-28 02:56:59,68.00003333333346,3.55726,-1.49925,24.18646,-1.69805,0.3770292728920326
2018-10-28 02:57:59,69.00001666666648,3.55086,-1.49925,24.0813,-1.72302,0.3678684242386443
2018-10-28 02:58:59,69.99998333333352,3.54462,-1.4967,23.97615,-1.7479900000000002,0.358707575585256
2018-10-28 02:59:59,71.00001666666648,3.53822,-1.4967,24.0813,-1.77296,0.3495467269318677
2018-10-28 03:00:59,71.99996666666654,3.53215,-1.49925,24.0813,-1.79794,0.34038220953652776
2018-10-28 03:01:59,72.99996666666654,3.52591,-1.49925,24.18646,-1.82291,0.3312213608831396
2018-10-28 03:02:59,73.99998333333352,3.51951,-1.4967,24.18646,-1.84788,0.3220605122297513
2018-10-28 03:03:59,75.00003333333346,3.51327,-1.49925,24.0813,-1.87284,0.3129033323183147
2018-10-28 03:04:59,75.99998333333352,3.5067,-1.49925,24.18646,-1.89782,0.3037388149229747
2018-10-28 03:05:59,77.00003333333346,3.50012,-1.49925,24.29162,-1.9228,0.29457429752763475
2018-10-28 03:06:59,78.0,3.49338,-1.49925,24.18646,-1.94777,0.2854134488742466
2018-10-28 03:07:59,79.00001666666648,3.48647,-1.4967,24.18646,-1.9727400000000002,0.2762526002208582
2018-10-28 03:08:59,79.99996666666654,3.47939,-1.49925,24.18646,-1.99771,0.26709175156747
2018-10-28 03:09:59,80.99998333333352,3.47248,-1.49925,24.39678,-2.02268,0.2579309029140818
2018-10-28 03:10:59,82.0,3.4654,-1.49925,24.18646,-2.04766,0.24876638551874175
2018-10-28 03:11:59,83.0,3.45832,-1.49925,24.18646,-2.0726299999999998,0.23960553686535357
2018-10-28 03:12:59,84.0,3.4509,-1.4967,24.18646,-2.0976,0.2304446882119653
2018-10-28 03:13:59,84.99998333333352,3.44264,-1.4967,24.29162,-2.12257,0.2212838395585769
2018-10-28 03:14:59,86.00001666666648,3.43405,-1.49925,24.18646,-2.14754,0.21212299090518882
2018-10-28 03:15:59,87.00001666666648,3.42494,-1.4967,24.18646,-2.17251,0.20296214225180043
2018-10-28 03:16:59,88.00003333333346,3.41551,-1.49925,24.29162,-2.1974799999999997,0.19380129359841225
2018-10-28 03:17:59,88.99998333333352,3.40573,-1.4967,24.29162,-2.22245,0.18464044494502396
2018-10-28 03:18:59,89.99998333333352,3.39545,-1.49925,24.29162,-2.24742,0.17547959629163568
2018-10-28 03:19:59,90.99998333333352,3.38483,-1.4967,24.29162,-2.2723999999999998,0.1663150788962957
2018-10-28 03:20:59,92.00003333333346,3.3737,-1.49925,24.39678,-2.29739,0.15714689275900395
2018-10-28 03:21:59,92.99996666666654,3.36089,-1.4967,24.18646,-2.3223599999999998,0.14798604410561578
2018-10-28 03:22:59,94.0,3.34572,-1.49925,24.29162,-2.34733,0.1388251954522275
2018-10-28 03:23:59,94.99996666666654,3.32819,-1.49925,24.39678,-2.3723099999999997,0.12966067805688763
2018-10-28 03:24:59,96.0,3.30948,-1.49925,24.50194,-2.39727,0.12050349814545103
2018-10-28 03:25:59,97.0,3.28841,-1.49925,24.39678,-2.42223,0.11134631823401442
2018-10-28 03:26:59,98.0,3.26465,-1.4967,24.29162,-2.4472,0.10218546958062613
2018-10-28 03:27:59,99.00003333333346,3.23818,-1.49925,24.50194,-2.4721599999999997,0.09302828966918963
2018-10-28 03:28:59,100.0,3.20902,-1.49925,24.6071,-2.49714,0.08386377227384956
2018-10-28 03:29:59,101.00001666666648,3.17733,-1.49925,24.50194,-2.5221,0.07470659236241295
2018-10-28 03:30:59,101.99998333333352,3.14413,-1.49925,24.29162,-2.5470699999999997,0.06554574370902488
2018-10-28 03:31:59,102.99996666666654,3.11092,-1.4967,24.6071,-2.57205,0.05638122631368481
2018-10-28 03:32:59,104.00003333333346,3.07738,-1.4967,24.71226,-2.5970199999999997,0.04722037766029663
2018-10-28 03:33:59,105.0,3.04198,-1.4967,24.71226,-2.6219799999999998,0.03806319774886002
2018-10-28 03:34:59,106.0,3.00169,-1.49925,24.29162,-2.64695,0.028902349095471735
2018-10-28 03:35:59,106.99998333333352,2.95332,-1.49925,24.6071,-2.6719199999999996,0.01974150044208356
2018-10-28 03:36:59,108.00003333333346,2.89331,-1.4967,25.02773,-2.6969,0.010576983046743482
2018-10-28 03:37:59,108.99998333333352,2.81493,-1.4967,24.6071,-2.72186,0.001419803135306874
2018-10-28 03:38:08,109.15503333333326,2.79993,-1.4967,24.6071,-2.72573,0.0
