Timestamp,Time [min],Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah],Time_diff,Cumulative_Capacity_Ah,SOC [-],Rounded_Time
2018-12-05 20:13:25,0.0,0.0,4.1366,-0.15069,-10.20038,-0.00253,0.0,0.0,1.0,0
2018-12-05 20:14:25,1.0,60.0,4.13087,-0.15325,-9.99006,-0.00505,0.016666666666666666,-0.0025541666666666664,0.9990027188519651,60
2018-12-05 20:15:25,2.000033333333219,120.00199999999313,4.12665,-0.15069,-10.09522,-0.00759,0.016667222222220314,-0.005065750383333045,0.9980220643296775,120
2018-12-05 20:16:25,3.0000166666667307,180.00100000000384,4.12295,-0.15325,-9.99006,-0.01012,0.016666388888891864,-0.007619874480555722,0.997024799802995,180
2018-12-05 20:17:25,4.000049999999949,240.00299999999697,4.11957,-0.15325,-10.30554,-0.01266,0.016667222222220314,-0.010174126286110986,0.9960274854122553,240
2018-12-05 20:18:25,5.00006666666668,300.0040000000008,4.11654,-0.15325,-10.20038,-0.0152,0.01666694444444551,-0.01272833552222226,0.9950301876428679,300
2018-12-05 20:19:25,6.00001666666673,360.00100000000384,4.11401,-0.15325,-9.8849,-0.01774,0.016665833333334174,-0.015282374480555723,0.9940329563588903,360
2018-12-05 20:20:25,7.00001666666673,420.00100000000384,4.11148,-0.15325,-9.99006,-0.02029,0.016666666666666666,-0.01783654114722239,0.9930356752108555,420
2018-12-05 20:21:25,8.00004999999995,480.002999999997,4.10929,-0.15325,-9.99006,-0.02282,0.016667222222220314,-0.020390792952777653,0.9920383608201158,480
2018-12-05 20:22:25,9.00004999999995,540.002999999997,4.10693,-0.15069,-9.99006,-0.02536,0.016666666666666666,-0.022902292952777653,0.9910577389852225,540
2018-12-05 20:23:25,10.000033333333219,600.0019999999931,4.10491,-0.15069,-9.8849,-0.02789,0.01666638888888782,-0.02541375109444416,0.9900771334940267,600
2018-12-05 20:24:25,11.00006666666668,660.0040000000008,4.10306,-0.15069,-9.99006,-0.03043,0.016667222222224356,-0.027925334811111147,0.9890964789717389,660
2018-12-05 20:25:25,11.999983333333269,719.9989999999962,4.1012,-0.15069,-10.09522,-0.03296,0.016665277777776485,-0.030436625519444285,0.988115938855332,720
2018-12-05 20:26:25,13.000033333333219,780.0019999999931,4.09935,-0.15325,-9.99006,-0.0355,0.01666749999999916,-0.03299091989444416,0.9871186078432397,780
2018-12-05 20:27:25,14.000016666666731,840.0010000000038,4.09766,-0.15069,-10.09522,-0.03804,0.016666388888891864,-0.035502378036111275,0.9861380023520435,840
2018-12-05 20:28:25,15.000016666666731,900.0010000000038,4.09615,-0.15069,-9.99006,-0.04057,0.016666666666666666,-0.038013878036111275,0.9851573805171503,900
2018-12-05 20:29:25,16.00001666666673,960.0010000000038,4.09446,-0.15069,-10.09522,-0.04311,0.016666666666666666,-0.040525378036111274,0.9841767586822571,960
2018-12-05 20:30:25,16.99998333333327,1019.9989999999962,4.09311,-0.15069,-9.99006,-0.04564,0.016666111111108977,-0.04303679431944429,0.9831961695347585,1020
2018-12-05 20:31:25,18.00004999999995,1080.002999999997,4.09176,-0.15325,-9.99006,-0.04818,0.016667777777778003,-0.045591131263888765,0.9821988219013137,1080
2018-12-05 20:32:25,19.00006666666668,1140.0040000000008,4.09041,-0.15325,-9.99006,-0.05071,0.01666694444444551,-0.048145340500000036,0.9812015241319263,1140
2018-12-05 20:33:25,20.00004999999995,1200.002999999997,4.08923,-0.15325,-9.99006,-0.05325,0.01666638888888782,-0.0506994645972221,0.9802042596052439,1200
2018-12-05 20:34:25,21.0,1260.0,4.08789,-0.15325,-10.09522,-0.05579,0.016665833333334174,-0.05325350355555556,0.9792070283212664,1260
2018-12-05 20:35:25,22.0,1320.0,4.08671,-0.15325,-9.99006,-0.05832,0.016666666666666666,-0.05580767022222223,0.9782097471732315,1320
2018-12-05 20:36:25,23.000033333333217,1380.0019999999931,4.08553,-0.15325,-9.99006,-0.06086,0.016667222222220314,-0.05836192202777749,0.9772124327824918,1380
2018-12-05 20:37:25,24.000033333333217,1440.0019999999931,4.08451,-0.15069,-10.09522,-0.06339,0.016666666666666666,-0.06087342202777749,0.9762318109475986,1440
2018-12-05 20:38:25,25.00006666666668,1500.0040000000008,4.0835,-0.15069,-9.99006,-0.06593,0.016667222222224356,-0.06338500574444449,0.9752511564253108,1500
2018-12-05 20:39:25,26.00004999999995,1560.002999999997,4.08249,-0.15325,-10.09522,-0.06846,0.01666638888888782,-0.06593912984166654,0.9742538918986284,1560
2018-12-05 20:40:25,27.00006666666668,1620.0040000000008,4.08131,-0.15325,-9.99006,-0.071,0.01666694444444551,-0.06849333907777781,0.973256594129241,1620
2018-12-05 20:41:25,28.00008333333341,1680.0050000000047,4.0803,-0.15325,-10.20038,-0.07354,0.01666694444444551,-0.07104754831388908,0.9722592963598536,1680
