Timestamp,Time [min],Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah],Time_diff,Cumulative_Capacity_Ah,SOC [-],Rounded_Time
2018-12-25 01:31:22,0.0,0.0,4.18363,-0.03831,-19.7698,-0.0,0.0,0.0,1.0165947032874887,0
2018-12-25 01:31:22,0.010033333333315872,0.6019999999989523,4.16593,-0.09706,-19.7698,-2e-05,2.8333333333042295e-05,-1.5366591666645763e-05,0.999994734497858,1
2018-12-25 01:31:23,0.025083333333410944,1.5050000000046566,4.15362,-0.09706,-19.7698,-4e-05,2.8055555558239574e-05,-3.949914166679749e-05,0.9999850516158497,2
2018-12-25 01:31:24,0.043366666666649206,2.6019999999989523,4.14284,-0.09706,-19.7698,-7e-05,2.8333333333042295e-05,-6.885930277775216e-05,0.9999732712206665,3
2018-12-25 01:31:25,0.05836666666655219,3.5019999999931315,4.13643,-0.09706,-19.7698,-9e-05,2.8055555554197377e-05,-9.297994722204389e-05,0.9999635931156127,4
2018-12-25 01:31:26,0.07503333333321886,4.5019999999931315,4.13104,-0.09706,-19.7698,-0.00012,2.6944444442859904e-05,-0.0001197241694442607,0.9999528623329902,5
2018-12-25 01:31:27,0.09175000000007762,5.505000000004657,4.12699,-0.09706,-19.7698,-0.00015,2.8333333333042295e-05,-0.00014655069722235967,0.9999420985262991,6
2018-12-25 01:31:28,0.10841666666674428,6.505000000004657,4.12362,-0.09706,-19.7698,-0.00017,2.8055555558239574e-05,-0.00017365560000013328,0.9999312230251423,7
2018-12-25 01:31:29,0.12506666666668026,7.504000000000815,4.11755,-0.11749,-19.87496,-0.0002,2.8055555554197377e-05,-0.0002035036388889266,0.9999192468751403,8
2018-12-25 01:31:30,0.14168333333339736,8.501000000003842,4.11132,-0.1277,-19.87496,-0.00024,2.6666666668057183e-05,-0.00023723789444459508,0.9999057114296039,9
2018-12-25 01:31:31,0.1583833333332829,9.502999999996973,4.10036,-0.16091,-19.87496,-0.00028,2.722222222170482e-05,-0.0002775074083332222,0.9998895537939,10
2018-12-25 01:31:32,0.17501666666673069,10.501000000003842,3.80066,-1.89003,-19.87496,-0.00059,2.5833333335564627e-05,-0.0005944509472234999,0.999762384187277,11
2018-12-25 01:31:33,0.1917500000000776,11.505000000004657,3.40607,-4.86809,-19.87496,-0.00159,2.69444444469021e-05,-0.0015977321972314505,0.9993598302108105,12
2018-12-25 01:31:34,0.20841666666674427,12.505000000004657,3.26414,-5.99956,-19.87496,-0.00313,2.8333333333042295e-05,-0.0031391385638998353,0.9987413603029474,13
2018-12-25 01:31:35,0.2250166666667307,13.501000000003842,3.23498,-5.99956,-19.87496,-0.0048,2.6666666668057183e-05,-0.004799016830565144,0.9980753550360382,14
2018-12-25 01:31:36,0.24168333333339737,14.501000000003842,3.96261,0.4955,-19.87496,-0.00539,2.750000000054974e-05,-0.005406809861106963,0.9978319728809762,15
2018-12-25 01:31:37,0.25836666666655217,15.501999999993131,3.26043,-5.997,-19.87496,-0.00617,2.8611111107845015e-05,-0.0063564361555510235,0.9974513219641244,16
2018-12-25 01:31:38,0.2766999999999825,16.601999999998952,3.21071,-5.997,-19.87496,-0.008,2.8333333333042295e-05,-0.008189277355560716,0.9967159174967433,17
2018-12-25 01:31:39,0.29168333333339735,17.50100000000384,3.19587,-5.99956,-19.7698,-0.0095,2.8055555558239574e-05,-0.009687285344457765,0.9961148606418437,18
2018-12-25 01:31:40,0.3083666666665522,18.50199999999313,3.18289,-5.99956,-19.66465,-0.01117,2.8333333333042295e-05,-0.0113553548222177,0.9954455687545593,19
2018-12-25 01:31:41,0.32508333333341094,19.505000000004657,3.17211,-5.997,-19.7698,-0.01284,2.69444444469021e-05,-0.013026468677792443,0.9947750553489867,20
2018-12-25 01:31:42,0.34173333333334693,20.504000000000815,3.16368,-5.98679,-19.7698,-0.0145,2.8333333333042295e-05,-0.014689068377786036,0.9941079581412005,21
2018-12-25 01:31:43,0.3584000000000136,21.504000000000815,3.15458,-5.997,-19.7698,-0.01616,2.8055555554197377e-05,-0.01635440675000827,0.9934397620756453,22
2018-12-25 01:31:44,0.37501666666673067,22.50100000000384,3.14733,-5.99956,-19.66465,-0.01783,2.69444444469021e-05,-0.018015742494457768,0.9927731720141157,23
2018-12-25 01:31:45,0.3917166666666162,23.502999999996973,3.4477,-2.77885,-19.66465,-0.019,2.8611111111887213e-05,-0.019178534327782895,0.9923066164233437,24
2018-12-25 01:31:46,0.4084000000000136,24.504000000000815,3.96919,0.76623,-19.55949,-0.01921,2.7777777779394657e-05,-0.01937745936945581,0.9922275490225576,25
2018-12-25 01:31:47,0.42503333333321885,25.50199999999313,4.11938,0.74069,-19.55949,-0.019,2.7499999996507542e-05,-0.019169366502790743,0.9923124817665241,26
2018-12-25 01:31:48,0.44171666666661624,26.502999999996973,4.19995,0.59766,-19.55949,-0.0188,2.8333333333042295e-05,-0.018963630511123115,0.9923964525560328,27
2018-12-25 01:31:49,0.4583833333332829,27.502999999996973,4.19995,0.37801,-19.55949,-0.01867,2.8333333333042295e-05,-0.01883899863890065,0.9924473208393294,28
2018-12-25 01:31:50,0.47506666666668024,28.504000000000815,4.19995,0.31671,-19.55949,-0.01858,2.8055555554197377e-05,-0.018744894891677997,0.9924857291211568,29
2018-12-25 01:31:51,0.4917500000000776,29.505000000004657,3.97377,-0.99865,-19.45433,-0.01868,2.8055555558239574e-05,-0.018882475566680133,0.9924307601955851,30
2018-12-25 01:31:52,0.5100500000000465,30.603000000002794,3.52659,-3.33309,-19.55949,-0.01941,2.8611111111887213e-05,-0.01962170155557141,0.9921341550698207,31
2018-12-25 01:31:53,0.5250499999999495,31.502999999996973,3.89472,-0.07662,-19.55949,-0.01973,2.8333333333042295e-05,-0.019927570530573584,0.9920114289925978,32
2018-12-25 01:31:54,0.5417166666666162,32.50299999999697,3.80774,-1.06506,-19.55949,-0.01988,2.8055555554197377e-05,-0.02009080627501754,0.991945932704267,33
2018-12-25 01:31:55,0.5583500000000641,33.50100000000384,4.18984,1.42775,-19.45433,-0.0198,2.8055555558239574e-05,-0.01996900915001616,0.9919964693466489,34
