Timestamp,Time [min],Voltage [V],Current [A],Temperature [degC],Capacity [Ah],SOC [-]
2018-12-25 16:13:04,0.0,4.1895,0.0,-19.98012,0.0,1.0
2018-12-25 16:13:14,0.16659999999998643,4.1895,0.0,-20.08528,0.0,1.0
2018-12-25 16:13:24,0.3333499999999882,4.1895,0.0,-20.19044,0.0,1.0
2018-12-25 16:13:34,0.5000166666666549,4.1895,0.0,-20.08528,0.0,1.0
2018-12-25 16:13:44,0.6666833333333215,4.1895,0.0,-19.98012,0.0,1.0
2018-12-25 16:13:54,0.833266666666653,4.1895,0.0,-19.98012,0.0,1.0
2018-12-25 16:13:54,0.8333499999999883,4.1895,0.0,-19.98012,0.0,1.0
2018-12-25 16:14:04,1.00008333333332,3.49355,-2.9985,-19.87496,-0.00833,0.9966466421905448
2018-12-25 16:14:14,1.1667833333333268,3.46236,-3.00106,-19.7698,-0.01667,0.9932892587414625
2018-12-25 16:14:24,1.3334166666666534,3.44652,-2.9985,-19.66465,-0.025,0.9899359009320072
2018-12-25 16:14:34,1.500066666666665,3.43893,-2.9985,-19.45433,-0.03333,0.9865825431225521
2018-12-25 16:14:44,1.6667833333333268,3.43708,-3.00106,-19.34917,-0.04167,0.9832251596734697
2018-12-25 16:14:54,1.8334333333333235,3.43893,-3.00106,-19.13885,-0.05,0.9798718018640145
2018-12-25 16:15:04,2.000049999999995,3.44298,-3.00106,-18.92854,-0.05833,0.9765184440545593
2018-12-25 16:15:14,2.1667666666666565,3.44837,-3.00106,-18.92854,-0.06667,0.9731610606054769
2018-12-25 16:15:24,2.333416666666653,3.45461,-2.9985,-18.71822,-0.075,0.9698077027960218
2018-12-25 16:15:34,2.50008333333332,3.46085,-2.9985,-18.61306,-0.08333,0.9664543449865666
2018-12-25 16:15:44,2.6667666666666565,3.46725,-3.00106,-18.5079,-0.09167,0.9630969615374841
2018-12-25 16:15:54,2.8334499999999934,3.47349,-2.9985,-18.40274,-0.1,0.959743603728029
